Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Pâté à base de poisson ou de crustacés;Mer;1030;738;22,7;66;157;183;0,05;2,3;0,05;1,2;310;10,8;3,5;0;0;60,8;21,2
Pilchard, sauce tomate, appertisé, égoutté;Mer;584;290;29;280;310;250;0,11;2,5;0,16;1,3;64;16,7;0;0;0;70,2;8,1
Poisson en sauce, surgelé;Mer;460;386;21,2;164;312;28,1;0,0416;0,4;0,051;0,257;79,5;10,6;3,61;0;0,4;76,4;5,82
Poisson, croquette, frit;Mer;1060;428;22,2;190;260;49,1;0,144;0,767;0,0694;0,376;84,3;13,2;18;15,2;1,55;52,1;14
Rillettes de saumon;Mer;959;443;21;130;222;14;0,1;0,4;0,1;0,4;10;13,6;3,4;0;0;62,8;18,1
Rillettes de thon;Mer;927;409;25,5;121;202;18,4;0,1;0,7;0,1;0,5;6;15,6;1,7;0;0;63,5;17,1
Sardine, à l'huile d'olive, conserve, égouttée;Mer;828;291;467;530;357;798;0,16;3,3;0,1;2,2;15;24,3;0;0;0;60,1;11,2
Sardine, à l'huile, appertisée, égouttée;Mer;926;341;38,1;342;374;613;0,19;2,45;0,129;1,99;70,6;26,4;0;0;0;55,8;12,9
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;Mer;1030;282;37;262;357;108;0,1;2,3;0,1;2;40;24,9;0;0;0;60,5;16,3
Sardine, sauce tomate, appertisée, égouttée;Mer;650;315;35,8;386;410;404;0,24;2,75;0,16;2,1;30;15,8;0;0;0;68,2;10,3
Saumon fumé;Mer;708;1440;34,4;223;477;8,34;0,0132;0,304;0,0536;0,294;40;21,8;0;0;0;64,8;9,11
Surimi, bâtonnets;Mer;427;670;12,3;54,5;58;17,1;0,0326;0,483;0,28;1,33;8,86;8,65;11,8;9,7;0;73,8;2,15
Tarama préemballé;Mer;2240;582;7,4;79;96;18,6;0,1;1;0,1;1,2;10;6,92;10;3,3;0;29,3;52,9
Terrine de poisson;Mer;1040;405;19;66;210;30,5;0,1;0,4;0,1;0,4;25;10;5,5;4;0;66,3;21,1
Thon à l'huile, appertisé, égoutté;Mer;964;130;29,8;200;295;6,5;0,0264;1,12;0,2;0,554;14;25,8;0;0;0;57,9;14,2
Thon albacore, au naturel, appertisé, égoutté;Mer;487;283;26,1;195;245;1,5;0,1;1,3;0,1;0,4;1;26,4;0;0;0;70,4;1,04
